epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,803.139,3.10685,15.8067,0.78794,0.86783,0.67344,0.75014,0.3136,2.33188,6.69865,0.70312,0.000663492,0.000663492,0.000663492
2,1592.8,2.66846,6.75062,0.72268,0.93025,0.73333,0.85263,0.37418,2.193,3.93022,0.70162,0.00122042,0.00122042,0.00122042
3,2352.61,2.24058,5.22184,0.74568,0.91522,0.73846,0.87921,0.43756,1.93786,2.30793,0.69437,0.00166735,0.00166735,0.00166735
4,3113.66,2.21966,2.82097,0.73291,0.94036,0.81026,0.90284,0.45091,1.90909,1.47859,0.69058,0.001505,0.001505,0.001505
5,3877.08,2.08065,1.89952,0.73532,0.91329,0.88205,0.92577,0.50634,1.81261,1.15424,0.67945,0.00134,0.00134,0.00134
6,4641.58,1.95899,1.42312,0.72922,0.96722,0.89744,0.95119,0.55026,1.59063,0.98376,0.68694,0.001175,0.001175,0.001175
7,5403.92,1.85566,1.23997,0.72133,0.96889,0.95814,0.97908,0.56278,1.59884,0.85605,0.68265,0.00101,0.00101,0.00101
8,23494.9,1.80235,1.0921,0.71952,0.93733,0.92821,0.96217,0.53022,1.62644,0.83779,0.67808,0.000845,0.000845,0.000845
9,24253.6,1.68944,0.96062,0.71603,0.96482,0.93333,0.96226,0.59762,1.42373,0.79825,0.68384,0.00068,0.00068,0.00068
10,25012,1.63872,0.91338,0.71719,0.96887,0.94359,0.96814,0.58469,1.46349,0.73818,0.68058,0.000515,0.000515,0.000515
11,39607.1,1.61316,0.87247,0.7128,0.97878,0.94639,0.97402,0.63319,1.38474,0.6888,0.68061,0.00035,0.00035,0.00035
12,40364.7,1.54365,0.81337,0.71136,0.97162,0.94359,0.97552,0.63332,1.38092,0.67316,0.67574,0.000185,0.000185,0.000185
